input,expected_output,category,document,expected_source,expects_offer
"Co je „ekologický benefit"" a za jakých podmínek se vyplácí?","Nad rámec pojistné částky uhradí náklady na ekologickou modernizaci (zateplení, fotovoltaika, jímání dešťové vody); podmínky: plnění přesáhne 75 % pojistné částky a objekt nebyl podpojištěn; limit 5 % z pojistné částky objektu.","in_scope","VPP M-100_23","čl. 29 odst. 8",true
"Jak staré může být zařízení u připojištění prodloužené záruky spotřebičů?","Spotřebič nesmí být starší 6 let od data zakoupení jako nový.","in_scope","VPP M-100_23","čl. 31 odst. 3 písm. b",true
"Které spotřebiče spadají do připojištění prodloužené záruky?","Chladnička/mraznička, pračka/sušička, myčka, sporák/varná deska/trouba (kromě samostatných mikrovlnek), digestoř, průtokový ohřívač/bojler/kotel, televizor.","in_scope","VPP M-100_23","čl. 31 odst. 2",true
"Jaký je limit plnění za pojistnou událost na garáži (připojištění garáže)?","400 000 Kč.","in_scope","VPP M-100_23","čl. 32 odst. 5",true
"Jaký je sublimit na pronajaté movité věci a spoluúčast z havarijního pojištění?","30 000 Kč za pojistný rok v rámci sjednaného limitu.","in_scope","VPP M-100_23","čl. 43 odst. 3",true
"Jaké tři typy pojistné hodnoty dokument rozlišuje?","Nová cena, časová cena, obvyklá cena.","in_scope","VPP M-100_23","čl. 26 odst. 2",
"Do kdy je splatné pojistné plnění po skončení šetření?","Do 15 dnů od skončení šetření.","in_scope","VPP M-100_23","čl. 12 odst. 3",false
"Jaká rychlost větru se považuje za vichřici?","20,8 m/s a vyšší.","in_scope","VPP M-100_23","čl. 44 odst. 56",
"Na jakém území platí pojištění odpovědnosti v běžném občanském životě?","Na celém světě.","in_scope","VPP M-100_23","čl. 37 odst. 7",true
"Na jakém území platí pojištění odpovědnosti z vlastnictví nemovitosti?","Pouze na území České republiky.","in_scope","VPP M-100_23","čl. 38 odst. 5",true
"Vztahuje se pojištění odpovědnosti na škodu způsobenou psem?","Ano u běžného občanského života (zvíře pod dohledem), ale ne, pokud pes škodil při výkonu práva myslivosti nebo služebním výkonu (výluka).","in_scope","VPP M-100_23","čl. 37 odst. 2 písm. d a čl. 39 odst. 2 písm. g",true
"Je z pojištění odpovědnosti kryta škoda při profesionální sportovní činnosti?","Ne — je vyloučena. Za profesionální se nepovažuje sport, kde roční příjmy nepřesáhly 150 000 Kč.","in_scope","VPP M-100_23","čl. 39 odst. 2 písm. a a čl. 44 odst. 35",true
"Jaký je roční souhrnný limit u pojištění odpovědnosti?","Maximálně dvojnásobek limitu plnění sjednaného ve smlouvě.","in_scope","VPP M-100_23","čl. 43 odst. 2",true
"Je krádež automaticky kryta v základním pojištění majetku?","Ne — odcizení (krádež s překonáním překážky, loupež) se hradí jen, je-li to výslovně ujednáno. Základ pokrývá živelní nebezpečí.","in_scope","VPP M-100_23","čl. 23 odst. 1 vs. odst. 3",true
"Jak je to s vandalismem u pojištění domácnosti?","U domácnosti/rekreační domácnosti se vandalismus vztahuje jen na případy, kdy pachatel překonal překážku zabraňující vstupu (s výjimkou škody na vstupních dveřích do bytu).","in_scope","VPP M-100_23","čl. 23 odst. 7",true
"Jaký je rozdíl mezi povodní a záplavou?","Povodeň = přechodné zvýšení hladiny toku, voda zaplavuje mimo koryto; záplava = vytvoření souvislé vodní plochy stojící/proudící v místě pojištění.","in_scope","VPP M-100_23","čl. 44 odst. 31 a 62",
"Co se rozumí motorovým vozidlem podle těchto podmínek?","Nekolejové vozidlo poháněné vlastním motorem včetně pracovních strojů (zahradní traktůrek), elektrovozidel, segwayů — bez ohledu na registrační značku.","in_scope","VPP M-100_23","čl. 44 odst. 11",
"Kolik stojí pojištění domácnosti pro byt 3+1?","Fallback — dokument neuvádí ceny ani sazby pojistného.","out_of_scope","VPP M-100_23","",false
"Pojišťuje tento produkt léčebné výlohy na dovolené v zahraničí?","Fallback — jde o cestovní pojištění, které tento dokument neřeší (týká se majetku a odpovědnosti občanů).","out_of_scope","VPP M-100_23","",false
"Jaká je přesná spoluúčast u pojištění skla a sanity?","Fallback / opatrná odpověď — čl. 24 konkrétní spoluúčast neuvádí (plnění se řídí limitem a smlouvou). Chatbot by neměl číslo vymyslet.","out_of_scope","VPP M-100_23","čl. 24",false
"Jaký je limit na náhradní ubytování?","Tento údaj (25 000 / 250 000 Kč, varianta KOMFORT) je v dokumentu M-200, NE v M-100. V kontextu M-100 je správná reakce, že M-100 tento limit neobsahuje — chatbot nesmí převzít číslo z M-200.","confusion","VPP M-100_23","",
"Jaký je limit plnění na garáž?","Připojištění garáže (400 000 Kč) je v M-100 (čl. 32), ne v M-200. Chatbot má vrátit M-100 jako zdroj.","confusion","VPP M-100_23","čl. 32",
"Existují u tohoto produktu varianty PRIMA a KOMFORT?","Varianty PRIMA/KOMFORT pro pojištění věci jsou rozpracované v M-200. V M-100 se objevují jen okrajově u připojištění (garáž = PRIMA, rostliny = KOMFORT). Chatbot nemá přenést strukturu variant z M-200.","confusion","VPP M-100_23","",
